Timestamp,Age,Gender,Employment Sector,How well do you know AI technologies? (1: Very weak - 5: Expert),Do you use AI tools in your daily life?,Do you support using AI-based facial recognition systems in public places to reduce crime?,Do you support using AI in criminal investigations?,To what extent do you support using AI in monitoring and securing national borders?,Do you support AI developing military plans instead of human commanders?,Are you ready to comply with military orders issued by an AI system?,"Do you support granting AI the authority to make major strategic decisions such as ""declaring war""?",How worried are you about the use of AI in espionage or cyberattacks against the state?,Do you support using AI in screening job applicants to ensure integrity?,Do you trust AI's ability to manage the state budget and reduce financial waste?,Do you support replacing routine jobs (like accounting and data entry) with AI to increase productivity?,Are you worried that AI will lead to increased unemployment rates in society?,Do you believe AI decisions in banks (such as granting loans) are fairer than humans?,How acceptable to you is the idea of completely replacing customer service employees with AI robots?,Do you support investing the state budget in building AI infrastructure instead of traditional projects?,Do you think AI will reduce nepotism (Wasta) in government appointments?,Do you trust AI's ability to diagnose diseases with higher accuracy than a human doctor?,How acceptable to you is having treatment and medications prescribed based solely on an AI system analysis?,Do you agree to undergo surgery led by an AI robot (under human supervision)?,"In emergencies, do you support AI making the ""treatment priority"" decision for patients?",Do you trust that the privacy of your medical data will be maintained when stored and processed by AI?,Do you support using AI to make complex ethical decisions (such as choosing between the life of the fetus and the mother)?,Do you believe AI will reduce medical errors resulting from doctor fatigue?,Do you support replacing nurses in care homes with robots to monitor patients' health status?
2026/04/30 6:38:14 PM GMT+3,6-18,Male,Student,2,Yes,Supportive,Supportive,Supportive,Neutral,Neutral,Strongly opposed,Neutral,Opposed,Supportive,Strongly supportive,Supportive,Neutral,Supportive,Strongly supportive,Strongly supportive,Neutral,Neutral,Supportive,Strongly supportive,Neutral,Strongly opposed,Neutral,Supportive
2026/05/07 6:57:59 PM GMT+3,18-30,Male,Student,3,Yes,Strongly supportive,Supportive,Supportive,Neutral,Not ready,Strongly opposed,Neutral,Supportive,Neutral,Yes,No,No,Strongly supportive,Supportive,Yes,Yes,Opposed,Yes,Neutral,No,Opposed,Yes,Neutral
2026/05/12 8:10:44 PM GMT+3,18-30,Female,Student,1,Yes,Strongly supportive,Strongly supportive,Strongly supportive,Opposed,Not ready,Strongly opposed,Neutral,Supportive,"No, I do not trust",Yes,Yes,No,Opposed,Supportive,No,No,Strongly opposed,Yes,No,Yes,Strongly opposed,Yes,Strongly opposed
2026/05/12 8:30:51 PM GMT+3,18-30,Female,Student,3,Yes,Supportive,Supportive,Supportive,Neutral,I don't know,Opposed,Neutral,Supportive,Neutral,Neutral,Yes,No,Strongly opposed,Neutral,Yes,Neutral,Neutral,Neutral,No,No,Strongly opposed,Neutral,Opposed
2026/05/12 8:30:54 PM GMT+3,6-18,Male,Student,5,Yes,Supportive,Supportive,Opposed,Strongly opposed,Not ready,Strongly opposed,Very worried,Neutral,Neutral,Neutral,Yes,Neutral,Strongly opposed,Supportive,Neutral,Yes,Opposed,No,No,Yes,Neutral,Neutral,Opposed
2026/05/12 8:36:29 PM GMT+3,+50,Female,Government employee,1,No,Strongly supportive,Strongly supportive,Strongly supportive,Supportive,I don't know,Opposed,I do not feel any worry,Supportive,"No, I do not trust",No,Yes,Yes,Opposed,Supportive,Yes,No,Opposed,Yes,No,Yes,Strongly opposed,Yes,Opposed
2026/05/12 8:40:46 PM GMT+3,18-30,Male,Student,3,Yes,Neutral,Strongly supportive,Neutral,Neutral,Not ready,Opposed,Very worried,Strongly supportive,Neutral,No,Yes,Neutral,Neutral,Supportive,Yes,Neutral,Neutral,Yes,Neutral,No,Opposed,Yes,Neutral
2026/05/12 9:07:15 PM GMT+3,18-30,Male,Student,5,Yes,Strongly supportive,Supportive,Strongly supportive,Strongly supportive,"Yes, I am ready",Supportive,Very worried,Supportive,"Yes, I trust",Yes,No,Yes,Supportive,Strongly supportive,Yes,Yes,Neutral,Yes,Yes,Yes,Neutral,Yes,Strongly supportive
2026/05/12 10:32:33 PM GMT+3,18-30,Male,Student,3,Yes,Neutral,Supportive,Supportive,Neutral,Not ready,Supportive,Very worried,Strongly supportive,"Yes, I trust",Yes,Yes,Yes,Supportive,Strongly supportive,Yes,Yes,Supportive,Yes,Yes,Yes,Neutral,Yes,Strongly supportive
2026/05/12 11:59:01 PM GMT+3,+50,Male,Government employee,1,No,Strongly supportive,Strongly supportive,Strongly supportive,Neutral,Not ready,Neutral,Very worried,Neutral,"Yes, I trust",Neutral,Yes,Yes,Opposed,Neutral,Yes,Neutral,Supportive,Yes,Neutral,Neutral,Neutral,Neutral,Neutral
2026/05/13 8:40:34 PM GMT+3,18-30,Male,Student,3,Yes,Neutral,Supportive,Neutral,Opposed,Not ready,Strongly opposed,Neutral,Supportive,"Yes, I trust",Yes,Yes,No,Neutral,Supportive,Yes,No,Supportive,No,No,Yes,Opposed,Neutral,Supportive
