"Timestamp","العمر","الجنس","القطاع الوظيفي","  ما مدى معرفتك بتقنيات الذكاء الاصطناعي؟ (1: ضعيف جداً - 5: خبير)  ","  هل تستعمل أدوات الذكاء الاصطناعي في حياتك اليومية؟   ","  هل تؤيد استخدام أنظمة التعرف على الوجوه المعتمدة على الذكاء الاصطناعي في الأماكن العامة لتقليل الجريمة؟  ","هل تؤيد استخدام الذكاء الاصطناعي في التحقيقات الجنائية؟","إلى أي مدى تؤيد استخدام الذكاء الاصطناعي في مراقبة وتأمين الحدود الوطنية؟ ","هل تؤيد أن يقوم الذكاء الاصطناعي بوضع خطط عسكرية بدلا من القادة البشريين؟ ","هل أنت مستعد للالتزام بأوامر عسكرية صادرة عن نظام ذكاء اصطناعي؟ ","هل تؤيد منح الذكاء الاصطناعي صلاحية اتخاذ قرارات إستراتيجية كبرى مثل ""إعلان الحرب""؟ ","ما مدى قلقك من استخدام الذكاء الاصطناعي في عمليات التجسس أو الاختراق الإلكتروني للدولة؟ ","  هل تؤيد استخدام الذكاء الاصطناعي في فرز المتقدمين للوظائف لضمان النزاهة؟  ","هل تثق في قدرة الذكاء الاصطناعي على إدارة ميزانية الدولة وتقليل الهدر المالي؟ ","هل تؤيد استبدال الوظائف الروتينية (كالمحاسبة والإدخال) بالذكاء الاصطناعي لزيادة الإنتاجية؟ ","هل تشعر بالقلق من أن يؤدي الذكاء الاصطناعي إلى زيادة معدلات البطالة في المجتمع؟ ","هل تعتقد أن قرارات الذكاء الاصطناعي في البنوك (مثل منح القروض) أكثر عدالة من البشر؟ ","ما مدى تقبلك لفكرة استبدال الموظفين في خدمة العملاء بروبوتات ذكاء اصطناعي بالكامل؟ ","هل تؤيد استثمار ميزانية الدولة في بناء بنية تحتية للذكاء الاصطناعي بدلاً من المشاريع التقليدية؟ ","هل تعتقد أن الذكاء الاصطناعي سيقلل من المحسوبية (الواسطة) في التعيينات الحكومية؟ ","  هل تثق في قدرة الذكاء الاصطناعي على تشخيص الأمراض بدقة أعلى من الطبيب البشري؟  ","ما مدى تقبلك لوصف العلاج والأدوية لك بناءً على تحليل نظام ذكاء اصطناعي فقط؟ ","هل توافق على إجراء عملية جراحية لك يقودها روبوت يعمل بالذكاء الاصطناعي (تحت إشراف بشري)؟ ","في حالات الطوارئ، هل تؤيد أن يتخذ الذكاء الاصطناعي قرار ""الأولوية في العلاج"" للمرضى؟ ","هل تثق في الحفاظ على خصوصية بياناتك الطبية عند تخزينها ومعالجتها بواسطة الذكاء الاصطناعي؟ ","هل تؤيد استخدام الذكاء الاصطناعي في اتخاذ قرارات أخلاقية معقدة (مثل المفاضلة بين حياة الجنين والأم)؟ ","هل تعتقد أن الذكاء الاصطناعي سيقلل من الأخطاء الطبية الناتجة عن تعب الأطباء؟ ","هل تؤيد استبدال الممرضين في دور الرعاية بروبوتات لمتابعة الحالة الصحية للمرضى؟ "
"2026/04/30 6:38:14 PM GMT+3","6-18","ذكر","طالب","2","نعم","مؤيد","مؤيد","مؤيد","محايد","محايد","معارض بشدة","محايد","معارض","مؤيد","مؤيد بشدة","مؤيد","محايد","مؤيد","مؤيد بشدة","مؤيد بشدة","محايد","محايد","مؤيد","مؤيد بشدة","محايد","معارض بشدة","محايد","مؤيد"
"2026/05/07 6:57:59 PM GMT+3","18-30","ذكر","طالب","3","نعم","مؤيد بشدة","مؤيد","مؤيد","محايد","لست بمستعد","معارض بشدة","محايد","مؤيد","محايد","نعم","لا","لا","مؤيد بشدة","مؤيد","نعم","نعم","معارض","نعم","محايد","لا","معارض","نعم","محايد"
"2026/05/12 8:10:44 PM GMT+3","18-30","أنثى","طالب","1","نعم","مؤيد بشدة","مؤيد بشدة","مؤيد بشدة","معارض","لست بمستعد","معارض بشدة","محايد","مؤيد","كلا لا اثق","نعم","نعم","لا","معارض","مؤيد","لا","لا","معارض بشدة","نعم","لا","نعم","معارض بشدة","نعم","معارض بشدة"
"2026/05/12 8:30:51 PM GMT+3","18-30","أنثى","طالب","3","نعم","مؤيد","مؤيد","مؤيد","محايد","لا اعلم","معارض","محايد","مؤيد","محايد","محايد","نعم","لا","معارض بشدة","محايد","نعم","محايد","محايد","محايد","لا","لا","معارض بشدة","محايد","معارض"
"2026/05/12 8:30:54 PM GMT+3","6-18","ذكر","طالب","5","نعم","مؤيد","مؤيد","معارض","معارض بشدة","لست بمستعد","معارض بشدة","قلق للغاية","محايد","محايد","محايد","نعم","محايد","معارض بشدة","مؤيد","محايد","نعم","معارض","لا","لا","نعم","محايد","محايد","معارض"
"2026/05/12 8:36:29 PM GMT+3","+50","أنثى","موظف في الدولة","1","لا","مؤيد بشدة","مؤيد بشدة","مؤيد بشدة","مؤيد","لا اعلم","معارض","لا اشعر باي قلق","مؤيد","كلا لا اثق","لا","نعم","نعم","معارض","مؤيد","نعم","لا","معارض","نعم","لا","نعم","معارض بشدة","نعم","معارض"
"2026/05/12 8:40:46 PM GMT+3","18-30","ذكر","طالب","3","نعم","محايد","مؤيد بشدة","محايد","محايد","لست بمستعد","معارض","قلق للغاية","مؤيد بشدة","محايد","لا","نعم","محايد","محايد","مؤيد","نعم","محايد","محايد","نعم","محايد","لا","معارض","نعم","محايد"
"2026/05/12 9:07:15 PM GMT+3","18-30","ذكر","طالب","5","نعم","مؤيد بشدة","مؤيد","مؤيد بشدة","مؤيد بشدة","نعم مستعد","مؤيد","قلق للغاية","مؤيد","نعم اثق","نعم","لا","نعم","مؤيد","مؤيد بشدة","نعم","نعم","محايد","نعم","نعم","نعم","محايد","نعم","مؤيد بشدة"
"2026/05/12 10:32:33 PM GMT+3","18-30","ذكر","طالب","3","نعم","محايد","مؤيد","مؤيد","محايد","لست بمستعد","مؤيد","قلق للغاية","مؤيد بشدة","نعم اثق","نعم","نعم","نعم","مؤيد","مؤيد بشدة","نعم","نعم","مؤيد","نعم","نعم","نعم","محايد","نعم","مؤيد بشدة"
"2026/05/12 11:59:01 PM GMT+3","+50","ذكر","موظف في الدولة","1","لا","مؤيد بشدة","مؤيد بشدة","مؤيد بشدة","محايد","لست بمستعد","محايد","قلق للغاية","محايد","نعم اثق","محايد","نعم","نعم","معارض","محايد","نعم","محايد","مؤيد","نعم","محايد","محايد","محايد","محايد","محايد"
